text_id,url,source_slug,skip,original_slug,last_status,last_checked,comments
88,https://www.let.leidenuniv.nl/Dutch/Ceneton/BogaertPleiters1695.html,ceneton:BogaertPleiters1695,,,,,
89,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoltinghTiribus1665.html,ceneton:BoltinghTiribus1665,,,,,
90,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1645.html,ceneton:Bontius/Bontius1645,,,,,
91,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1646.html,ceneton:Bontius/Bontius1646,,,,,
92,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1647.html,ceneton:Bontius/Bontius1647,,,,,
93,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1659a.html,ceneton:Bontius/Bontius1659a,,,,,
94,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1659b.html,ceneton:Bontius/Bontius1659b,,,,,
95,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1720.html,ceneton:Bontius/Bontius1720,,,,,
96,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1729a.html,ceneton:Bontius/Bontius1729a,,,,,
97,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1736ca.html,ceneton:Bontius/Bontius1736ca,,,,,
98,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1750.html,ceneton:Bontius/Bontius1750,,,,,
99,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1821a.html,ceneton:Bontius/Bontius1821a,,,,,
100,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius/Bontius1821b.html,ceneton:Bontius/Bontius1821b,,,,,
101,https://www.let.leidenuniv.nl/Dutch/Ceneton/Bontius1735ca.html,ceneton:Bontius1735ca,,,,,
102,https://www.let.leidenuniv.nl/Dutch/Ceneton/BontiusVosVertooningen1660a.html,ceneton:BontiusVosVertooningen1660a,,,,,
103,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoonAmintas1722.html,ceneton:BoonAmintas1722,,,,,
